#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
51.574402,0.138019,0.301225,0.000000,0.000000,52.014323
43.975249,0.097682,0.002084,0.000000,0.000000,44.075303
44.846204,0.174841,0.001295,0.000000,0.000000,45.022636
50.968504,0.081238,0.001489,0.000000,0.000000,51.051566
52.202526,0.126889,0.001863,0.000000,0.000000,52.331914
52.460970,0.116541,0.001512,0.000000,0.000000,52.579487
40.003818,0.100264,0.001530,0.000000,0.000000,40.105911
37.901441,0.094546,0.001886,0.000000,0.000000,37.998428
67.498401,0.194142,0.002414,0.000000,0.000000,67.695623
44.287624,0.142902,0.001327,0.000000,0.000000,44.432134
28.928528,0.105973,47.040789,0.000000,0.000000,76.076080
28.220116,0.179150,40.636181,161.781112,161.781112,418.209074
29.781660,0.364323,0.001837,0.000000,0.000000,30.148188
34.323662,0.122612,0.001367,0.000000,0.000000,34.447990
36.049890,0.118660,0.001258,0.000000,0.000000,36.170284
34.937053,0.084583,0.001160,0.000000,0.000000,35.023052
49.530459,0.109852,0.001213,0.000000,0.000000,49.641992
44.934464,0.112232,0.001255,0.000000,0.000000,45.048225
49.184634,0.117720,0.001951,0.000000,0.000000,49.304644
50.117245,0.082470,0.001334,0.000000,0.000000,50.201246
55.976742,0.132325,0.001366,0.000000,0.000000,56.110751
50.208227,0.051826,0.001302,0.000000,0.000000,50.261655
63.624527,0.097778,0.137585,0.000000,0.000000,63.860475
65.312498,0.158611,0.001885,0.000000,0.000000,65.473484
70.133407,0.176170,0.001831,0.000000,0.000000,70.311690
66.854973,0.095114,0.001513,0.000000,0.000000,66.951789
69.588540,0.077040,0.001933,0.000000,0.000000,69.667862
69.678917,0.074642,0.001776,0.000000,0.000000,69.755597
73.166865,0.122111,0.001456,0.000000,0.000000,73.290813
83.815862,0.092947,0.001219,0.000000,0.000000,83.910392
84.053392,0.061036,0.001583,0.000000,0.000000,84.116322
100.271534,0.064941,0.001938,0.000000,0.000000,100.338807
101.555909,0.049381,0.001256,0.000000,0.000000,101.606860
88.671768,0.051271,0.001387,0.000000,0.000000,88.724594
81.863167,0.046413,0.001436,0.000000,0.000000,81.911245
81.798171,0.030019,0.001292,0.000000,0.000000,81.829792
90.424525,0.034546,0.001517,0.000000,0.000000,90.460936
97.014060,0.036432,0.001934,0.000000,0.000000,97.052726
99.077713,0.039081,0.001506,0.000000,0.000000,99.118720
99.469093,0.037900,0.001994,0.000000,0.000000,99.509336
104.113827,0.051944,0.001737,0.000000,0.000000,104.167968
109.737292,0.057670,0.001506,0.000000,0.000000,109.796825
100.030156,0.034894,0.001812,0.000000,0.000000,100.067172
107.847972,0.041061,0.001427,0.000000,0.000000,107.890752
99.282117,0.037089,0.001798,0.000000,0.000000,99.321589
110.151442,0.036917,0.001173,0.000000,0.000000,110.189784
108.438675,0.037389,0.001849,0.000000,0.000000,108.478327
104.408682,0.036824,0.001366,0.000000,0.000000,104.447223
108.746160,0.032727,0.001583,0.000000,0.000000,108.780835
110.570268,0.032061,0.001194,0.000000,0.000000,110.603706
111.568912,0.027139,0.001952,0.000000,0.000000,111.598404
104.313913,0.026649,0.001402,0.000000,0.000000,104.342550
105.097169,0.033697,0.001977,0.000000,0.000000,105.133296
108.268255,0.038461,0.001819,0.000000,0.000000,108.309110
103.435880,0.045144,0.255901,0.000000,0.000000,103.737137
105.679223,0.035521,0.001675,0.000000,0.000000,105.716778
103.106049,0.051678,0.002027,0.000000,0.000000,103.159943
110.057937,0.074289,0.001885,0.000000,0.000000,110.134513
173.061170,0.085568,0.001664,0.000000,0.000000,173.148863
109.784468,0.080332,0.271485,0.000000,0.000000,110.136588
101.823925,0.066550,0.001602,0.000000,0.000000,101.892565
127.550507,0.069550,0.001483,0.000000,0.000000,127.621787
117.615844,0.064323,0.001637,0.000000,0.000000,117.682273
117.662775,0.050891,0.310349,0.000000,0.000000,118.024424
111.272479,0.064090,0.001411,0.000000,0.000000,111.338363
111.771084,0.069558,0.001878,0.000000,0.000000,111.843074
121.651359,0.047975,0.001728,0.000000,0.000000,121.701389
109.869956,0.050101,0.001828,0.000000,0.000000,109.922400
116.139431,0.051705,0.375050,0.000000,0.000000,116.566573
114.520383,0.051499,0.001235,0.000000,0.000000,114.573374
117.648939,0.053326,0.001520,0.000000,0.000000,117.704195
116.708501,0.071450,0.001658,0.000000,0.000000,116.781966
109.540384,0.058682,0.308231,0.000000,0.000000,109.907770
109.576916,0.065745,0.376216,0.000000,0.000000,110.019261
102.751592,0.072862,0.001632,0.000000,0.000000,102.826433
98.948504,0.150585,0.001558,0.000000,0.000000,99.100812
99.145164,0.071695,0.001787,0.000000,0.000000,99.218924
88.522047,0.072330,0.001863,0.000000,0.000000,88.596580
85.162680,0.069765,0.001723,0.000000,0.000000,85.234376
85.326837,0.090738,0.300445,0.000000,0.000000,85.718616
85.585955,0.091524,0.297638,0.000000,0.000000,85.975508
79.574215,0.101649,0.001674,0.000000,0.000000,79.677840
78.141036,0.108288,0.001616,0.000000,0.000000,78.251228
80.288240,0.071352,0.001400,0.000000,0.000000,80.361283
70.610926,0.103741,0.001772,0.000000,0.000000,70.716745
73.205534,0.120623,0.001493,0.000000,0.000000,73.328004
61.215460,0.103458,0.001537,0.000000,0.000000,61.320750
60.025913,0.086428,0.001519,0.000000,0.000000,60.114023
60.577010,0.065852,0.201858,0.000000,0.000000,60.844983
62.127436,0.121856,0.001533,0.000000,0.000000,62.251358
57.151528,0.124607,0.001612,0.000000,0.000000,57.278053
62.699205,0.133488,0.001573,0.000000,0.000000,62.834555
60.235374,0.092296,0.001738,0.000000,0.000000,60.329844
61.931135,0.195548,0.001416,0.000000,0.000000,62.128460
112.079797,0.152784,0.001973,0.000000,0.000000,112.234986
72.694598,0.122322,0.001474,0.000000,0.000000,72.818737
77.885850,0.093234,0.001252,0.000000,0.000000,77.980625
74.137914,0.105171,0.001454,0.000000,0.000000,74.244719
70.208597,0.069993,0.001780,0.000000,0.000000,70.280679
88.920518,0.104405,0.001697,0.000000,0.000000,89.027112
75.873475,0.090887,0.002096,0.000000,0.000000,75.966905
84.839003,0.093462,0.001793,0.000000,0.000000,84.934610
84.962335,0.052074,0.001624,0.000000,0.000000,85.016590
80.593003,0.095414,0.001605,0.000000,0.000000,80.690351
84.544485,0.165740,0.001277,0.000000,0.000000,84.711935
80.613204,0.086333,0.001486,0.000000,0.000000,80.701439
84.728654,0.105615,0.001588,0.000000,0.000000,84.836325
89.829573,0.083429,0.001327,0.000000,0.000000,89.914600
93.161283,0.120668,0.001430,0.000000,0.000000,93.283813
95.293415,0.084264,0.001729,0.000000,0.000000,95.379942
95.778557,0.083069,0.001290,0.000000,0.000000,95.863408
103.751167,0.148058,0.001451,0.000000,0.000000,103.900889
103.096395,0.094566,0.001789,0.000000,0.000000,103.193148
100.867100,0.065721,0.001944,0.000000,0.000000,100.935220
89.175760,0.072836,0.315339,0.000000,0.000000,89.564592
96.431733,0.054827,0.001148,0.000000,0.000000,96.487929
106.541194,0.058091,0.367522,0.000000,0.000000,106.966979
106.622802,0.048784,0.001395,0.000000,0.000000,106.673239
112.312122,0.065791,0.001730,0.000000,0.000000,112.380070
113.701557,0.054798,0.001535,0.000000,0.000000,113.758116
