#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000000,-1070561379,-1073410660,1073741824,1075049344
0.000000,1329623387,-933528350,-1038214496,-1076147006
0.000000,1078465190,-1063155099,32766,1077548722
0.000000,-1005728116,-325071508,17,-1054431651
2.455360,1075054165,-1068232891,1073741824,1077985307
2.504588,641,-1286869917,-1038233552,-315010081
2.825069,0,-1070270455,32766,1077422377
22.156496,-1050624384,-905588433,3552,1559107488
3.068556,32766,-1078916581,0,1078167320
3.168368,-536870784,-669208450,148,409293203
23.867376,32766,-1074478682,0,1077153655
0.000000,0,1502198493,15,-1881264395
1.996974,0,1084195270,1073741824,1076015067
2.237073,0,-1809104325,-1038266432,617925535
1.901696,0,-1069240141,32766,1078287736
1.509802,50,-345383861,16,725402796
0.000000,32766,1080357000,1073741824,1077879145
1.587445,-1050667680,-1992067643,-1038225328,967845110
1.449110,32766,-1075431268,32766,1076964103
2.052575,64,-1685338252,17,216054035
1.746513,0,-1069785048,1073741824,1077412606
1.374455,84,1019603597,-1038224656,855420046
0.853480,0,-1075529234,32766,1077527320
1.670406,-1050667696,150296317,18,-1501108250
2.000178,32766,1079102031,1073741824,1076186348
20.708014,-1821611660,-447261312,-1038225664,-888405395
1.552314,1074315777,-1068965072,32766,1077497759
1.686984,-1028744045,617077008,19,913969041
2.367806,1079270537,1074128777,1073741824,1076147883
2.735286,-1821611660,-152334165,-1038266096,-1958505087
1.858795,1074315777,-1075028315,32766,1076268908
2.153272,705106118,594749948,20,-1722110087
24.749159,1083264104,-1075292015,1073741824,1077355504
1.179217,-673413402,-1283657338,-1038224992,-1402152203
22.696235,1077067074,-1077778700,32766,1077829828
0.664998,-1028744045,304,17,-1079720418
0.905324,1079270537,0,1073741824,1076206231
0.735120,-673413402,36,-1038226000,-384004436
0.807689,1077067074,0,32766,1077137420
0.898524,-2084830737,-1038179424,18,-1389507820
0.886446,1075071865,32766,1073741824,1080101638
0.673225,497,1092996270,-1038227632,1155311843
1.280453,0,-1071855646,32766,1080066861
1.526230,-1050624384,-328477900,-1553991120,-2009907256
1.418692,32766,1081272931,-1073953742,1080193039
0.000000,-536870784,305,1089,1649267442
1.303386,32766,0,0,1080151824
0.000000,0,-1038217616,-1038200704,657233076
1.369902,0,32766,32766,1078216865
1.476635,0,-1038281232,-536870784,-407369058
0.000000,0,32766,32766,1077003257
1.806893,51,-1334391098,0,992584122
20.106702,0,-1055430289,0,1077046525
0.000000,-1050667536,-1106548588,0,1238599849
0.000000,32766,-1062518904,0,1078250166
0.000000,64,839797577,11,700388907
0.000000,0,1091531739,1073741824,1077066924
1.755258,84,456070714,-1038217600,-1516226535
1.546941,0,1085987700,32766,1078235691
1.952843,-1050667552,264914497,12,1355972715
1.651120,32766,1090153618,1073741824,1076412579
