#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,1.772092,6.909332,0.000000,6.543060,5.350909,0.090969,17.065173
0.000000,0.000000,1.793877,2.729992,0.000000,2.685776,4.536846,0.094763,17.872491
0.000000,0.000000,1.976465,2.812586,0.000000,2.244381,4.575151,0.098502,14.162499
0.000000,0.000000,1.713563,2.835998,0.000000,2.178593,3.712333,0.095973,12.922622
0.000000,0.000000,1.630497,3.397161,0.000000,1.631075,3.564949,0.090555,12.560128
0.000000,0.000000,1.706379,2.744014,0.000000,1.791047,2.885022,0.085504,11.014050
0.000000,0.000000,1.410782,2.610212,0.000000,1.040227,2.389196,1.020100,9.904474
0.000000,0.000000,2.749003,2.957096,0.000000,5.104715,3.973381,0.085538,11.337157
0.000000,0.000000,2.126947,4.070245,0.000000,1.821919,3.620850,0.089824,16.714245
0.000000,0.000000,1.518620,2.736351,0.000000,1.958005,3.342471,0.091467,11.083562
0.000000,0.000000,3.010771,3.348440,0.000000,1.364899,2.759119,0.083921,13.177324
0.000000,0.000000,2.021498,3.364471,0.000000,1.523188,2.213634,0.778137,10.948704
0.000000,0.000000,1.577500,2.883620,0.000000,3.280010,3.711915,0.072407,10.188650
0.000000,0.000000,3.641760,2.839362,0.000000,1.766577,3.234021,0.074875,14.971121
0.000000,0.000000,1.954245,2.850127,0.000000,1.333473,2.399813,0.070018,11.239241
0.000000,0.000000,2.894248,2.819486,0.000000,1.216136,2.501750,0.071881,10.805345
0.000000,0.000000,3.576839,3.470364,0.000000,1.115931,2.109449,0.764222,12.045110
0.000000,0.000000,1.694440,4.626392,0.000000,3.307625,3.548922,0.072389,11.524422
0.000000,0.000000,2.216581,4.176714,0.000000,2.025088,3.181427,0.079024,14.551414
0.000000,0.000000,3.319749,3.619599,0.000000,1.755031,2.743163,0.068788,13.536816
0.000000,0.000000,3.143781,3.259078,0.000000,1.567923,2.402343,0.068868,12.247855
0.000000,0.000000,2.572079,2.591137,0.000000,1.684538,2.221065,0.773031,10.314025
0.000000,0.000000,1.548687,5.944381,0.000000,2.488571,2.945782,0.067847,13.531420
0.000000,0.000000,1.605865,3.824539,0.000000,1.674018,3.039633,0.070541,12.220708
0.000000,0.000000,1.566736,3.786806,0.000000,1.363517,2.327966,0.626076,11.417410
0.000000,0.000000,1.646477,3.120183,0.000000,4.007202,3.915936,0.088408,10.335953
0.000000,0.000000,1.553157,3.222136,0.000000,1.500013,2.835323,0.591390,14.304471
0.000000,0.000000,1.892641,3.838832,0.000000,3.467335,3.417314,0.053769,12.115962
0.000000,0.000000,2.170528,2.364281,0.000000,2.933505,3.323532,0.064610,12.797692
0.000000,0.000000,1.722094,2.233643,0.000000,1.399460,2.662235,0.474230,11.417296
