#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
12.260495,0.495000,26.251602,0.000000,0.000000,39.007447
8.264014,0.432260,27.264294,1.665656,1.665656,63.290167
7.550556,0.348424,33.281160,1.318800,1.318800,52.398610
7.302474,0.355284,27.554786,1.396735,1.396735,54.090595
11.893316,0.359505,13.554080,0.000000,0.000000,25.808277
9.286385,0.354225,23.068507,0.000000,0.000000,32.709307
7.143124,0.344581,6.193588,0.000000,0.000000,13.681467
7.138265,0.338793,30.441697,0.000000,0.000000,37.919072
7.616452,0.367362,27.181186,0.890438,0.890438,56.724579
7.689181,0.336320,27.203003,1.197261,1.197261,61.109121
9.136194,0.441532,24.362631,0.000000,0.000000,33.940616
7.878711,0.378779,25.584044,0.000000,0.000000,33.841739
7.627742,0.372585,29.756535,0.000000,0.000000,37.757538
8.058442,0.391125,27.181407,1.572397,1.572397,46.963702
7.918531,0.331059,24.047058,0.000000,0.000000,32.296869
7.406302,0.398665,26.849702,0.000000,0.000000,34.654990
7.877869,0.385923,27.283616,0.000000,0.000000,35.547781
8.029285,0.413182,27.105718,0.000000,0.000000,35.548534
12.164916,0.425221,6.556890,0.000000,0.000000,19.147302
8.233716,0.342401,29.622325,0.000000,0.000000,38.198866
8.588409,0.351096,27.907534,0.000000,0.000000,36.847545
14.673651,0.466688,30.890694,0.000000,0.000000,46.031505
8.838201,0.365599,28.638719,0.000000,0.000000,37.842842
9.800893,0.457242,36.205283,1.861973,1.861973,60.538120
8.421586,0.357139,29.181709,1.986927,1.986927,53.590512
8.516750,0.378129,32.932328,2.491845,2.491845,56.233232
7.860530,0.379496,23.081449,0.000000,0.000000,31.321672
8.522114,0.362575,27.524268,0.000000,0.000000,36.409417
8.592818,0.323343,27.101993,2.452675,2.452675,53.580227
9.064421,0.278864,2.260016,0.000000,0.000000,11.603755
7.993253,0.201804,2.225531,0.000000,0.000000,10.420823
10.878042,0.179681,10.389401,0.000000,0.000000,21.447312
8.260054,0.209913,11.040667,0.000000,0.000000,19.510840
8.062827,0.221367,11.197305,0.000000,0.000000,19.481916
8.435783,0.211700,12.559622,0.000000,0.000000,21.208503
8.954999,0.200673,16.739676,0.000000,0.000000,25.895588
9.331182,0.215203,11.831522,0.000000,0.000000,21.378154
9.953916,0.230965,10.936748,0.000000,0.000000,21.121861
10.806930,0.220969,12.156729,0.000000,0.000000,23.185931
10.317737,0.216186,11.951652,0.000000,0.000000,22.485956
11.757219,0.209788,35.268790,3.086314,3.086314,81.482603
11.485795,0.260330,5.676762,0.000000,0.000000,17.423992
10.810120,0.155634,37.749880,3.025057,3.025057,203.065618
11.237707,0.307612,29.509236,3.921855,3.921855,159.433483
9.635941,0.273013,27.996107,1.912414,1.912414,215.224663
7.226024,0.478263,21.209068,2.935145,2.935145,117.364739
6.810161,0.421807,8.445105,1.731790,1.731790,40.569902
6.731985,0.686084,7.849263,0.360514,0.360514,28.360144
8.216840,0.528092,9.831653,0.362844,0.362844,38.453855
9.279874,0.505340,18.214433,0.413780,0.413780,46.801218
10.114779,0.570502,15.281138,0.464665,0.464665,37.911674
10.212065,0.500884,19.132265,0.495542,0.495542,38.736942
10.110796,0.459090,6.646298,0.000000,0.000000,17.217305
8.264516,0.367734,24.236578,0.707495,0.707495,62.103950
12.612860,0.461769,35.013657,0.934035,0.934035,87.930345
9.589991,0.633790,36.701548,1.034050,1.034050,89.677789
9.738203,0.692318,37.192932,0.947547,0.947547,64.013774
9.414367,0.654638,23.579910,0.000000,0.000000,33.650361
8.753284,0.662439,36.726125,0.000000,0.000000,46.142424
9.295662,0.665189,34.009334,1.010266,1.010266,56.653500
8.640509,0.526537,22.385425,0.000000,0.000000,31.552835
11.766039,0.414372,34.397385,1.056376,1.056376,64.184576
10.792567,0.662775,46.185949,1.130375,1.130375,66.035990
9.518908,0.487943,37.375666,1.382659,1.382659,56.110086
8.508436,0.533274,40.618673,1.256099,1.256099,58.693942
10.199252,0.537022,34.236997,1.441874,1.441874,53.928532
9.253753,0.463680,36.971107,0.000000,0.000000,46.688968
8.009198,0.483318,27.264563,0.000000,0.000000,35.757409
8.136555,0.456866,26.074215,1.585953,1.585953,60.467844
8.019070,0.369773,24.668210,0.000000,0.000000,33.057327
6.879953,0.338916,25.259807,1.458793,1.458793,44.053413
8.594837,0.340245,26.625668,1.427220,1.427220,46.247266
8.343706,0.338127,23.298061,0.000000,0.000000,31.980090
8.161399,0.344680,23.251631,0.000000,0.000000,31.757917
9.342168,0.355993,31.512925,1.892055,1.892055,54.936008
9.573477,0.325302,15.840061,0.000000,0.000000,25.739101
8.809892,0.363834,31.266973,2.123801,2.123801,54.852782
9.217200,0.352862,24.126172,0.000000,0.000000,33.696484
9.735024,0.342078,27.313778,2.253982,2.253982,131.691906
8.117573,0.385950,34.927143,1.969755,1.969755,106.128036
8.546658,0.409479,30.756108,1.591131,1.591131,84.525782
7.136698,0.455080,22.511898,2.223120,2.223120,75.984319
7.938847,0.416241,18.889794,0.000000,0.000000,27.245149
6.086424,0.360348,7.878868,0.000000,0.000000,14.326012
6.881342,0.323236,10.555543,0.000000,0.000000,17.760363
6.406359,0.274738,8.157440,0.000000,0.000000,14.838772
11.286052,0.261729,6.578425,0.000000,0.000000,18.127857
6.787324,0.216960,16.577779,0.000000,0.000000,23.582424
5.923296,0.179611,4.165177,0.000000,0.000000,10.268453
6.789306,0.158220,16.318279,0.000000,0.000000,23.266264
7.564870,0.215553,4.386813,0.000000,0.000000,12.167555
7.301517,0.214840,23.402575,0.000000,0.000000,30.919623
6.984778,0.244131,0.980884,0.000000,0.000000,8.210038
7.143195,0.182700,5.229011,0.000000,0.000000,12.555127
7.330040,0.174530,17.442607,0.000000,0.000000,24.947419
7.634878,0.202479,1.927262,0.000000,0.000000,9.764937
7.942790,0.172283,9.560082,0.000000,0.000000,17.675434
10.252060,0.278219,30.389549,2.865068,2.865068,66.963369
9.058197,0.298686,26.077363,3.829987,3.829987,62.963527
9.593163,0.363455,23.885712,3.158760,3.158760,61.572770
10.482558,0.373416,29.728743,2.585118,2.585118,61.905736
8.865968,0.433120,26.051738,1.688420,1.688420,56.939287
10.775714,7.687795,28.968414,3.090679,3.090679,75.867095
12.590029,0.683749,32.911391,3.150433,3.150433,72.709660
12.261988,0.623964,34.492090,2.886504,2.886504,73.550467
13.107943,0.961945,4.666197,0.000000,0.000000,18.736367
12.084835,0.795623,34.547788,1.712147,1.712147,83.012975
12.430854,0.670959,31.455670,0.000000,0.000000,44.557710
9.997816,0.569837,44.693545,0.000000,0.000000,55.261658
11.970360,0.632818,30.371635,0.000000,0.000000,42.975253
10.625454,0.638901,26.506279,0.000000,0.000000,37.772308
9.845588,0.582000,41.598800,2.610822,2.610822,78.971283
10.486586,0.570908,45.233823,1.611224,1.611224,69.142601
10.489426,0.519983,47.244430,1.944277,1.944277,72.649233
12.248609,0.712141,54.744856,1.638470,1.638470,93.845141
12.299224,0.648963,43.074513,0.000000,0.000000,56.022967
11.106230,0.815678,51.077608,1.397435,1.397435,73.813387
12.573103,0.647426,50.421214,0.000000,0.000000,63.642617
